-0.73481,0.46286,-1
-0.71797,-0.27961,-1
-0.36226,0.43877,-1
0.16178,0.66627,-1
0.75976,0.93611,-1
0.47294,0.74,-1
0.45301,0.60238,-1
-0.15869,-0.48386,-1
0.35195,-0.19585,-1
0.60033,-0.57328,-1
-0.99634,-0.8065,-1
0.39687,-0.11038,-1
-0.98725,0.65765,-1
0.37756,0.52083,-1
-0.16796,0.3419,1
-0.7367,0.6046,-1
0.72324,-0.8275,-1
-0.55376,-0.96348,-1
0.3204,-0.94762,-1
0.79781,-0.90437,-1
-0.48208,0.052947,1
0.60406,-0.95909,-1
-0.17121,-0.93567,-1
0.32283,-0.51003,-1
-0.94008,-0.10571,-1
-0.91549,-0.83915,-1
-0.046301,-0.58844,1
-0.44613,0.51043,-1
0.512,-0.29297,-1
0.28714,-0.13368,-1
0.64996,-0.81017,-1
0.013752,0.54217,-1
0.96463,-0.92072,-1
0.30156,-0.32038,-1
0.91739,0.14091,-1
-0.9098,0.59071,-1
0.7935,0.15533,-1
0.22555,0.44375,-1
-0.60558,0.57037,-1
0.78115,-0.93182,-1
-0.036139,-0.95758,-1
-0.63071,-0.012828,-1
0.63136,-0.088158,-1
0.22785,0.75172,-1
-0.70506,-0.68554,1
-0.86992,0.7959,-1
0.72427,0.14219,1
-0.71063,-0.68707,-1
-0.48736,0.08415,-1
0.50999,0.050384,-1
0.40014,-0.22895,-1
-0.61343,-0.87553,-1
-0.41174,0.41323,-1
-0.92874,-0.84358,-1
0.40221,-0.37644,-1
0.58768,0.65555,-1
0.90806,0.066058,-1
-0.18041,-0.34471,-1
-0.99871,-0.77622,-1
0.99949,0.8552,-1
0.30191,-0.76884,-1
0.54653,0.85314,-1
0.7416,0.15291,-1
0.15885,0.37434,-1
0.34647,-0.43088,-1
0.77559,0.89662,-1
-0.27839,-0.84083,-1
0.43245,0.37384,-1
0.38704,-0.026233,-1
-0.74533,0.1963,1
0.70904,0.84088,-1
-0.52254,0.86207,-1
0.88733,-0.75376,-1
-0.8421,-0.9985,-1
0.44104,0.34294,-1
-0.44438,0.71025,-1
-0.58446,-0.16141,1
-0.33627,0.40194,-1
0.73571,-0.3046,-1
0.079518,-0.5831,-1
-0.46686,0.23808,1
0.26802,0.46716,-1
-0.67101,-0.53734,-1
0.966,-0.06138,-1
-0.076785,-0.85261,-1
0.26527,-0.73811,-1
-0.62567,-0.63037,-1
0.42307,-0.98339,-1
-0.91858,0.40786,-1
0.97164,0.29286,1
0.71652,0.92557,-1
-0.46622,0.62986,-1
-0.62363,-0.35262,-1
-0.9263,0.86317,-1
0.48441,0.34951,1
0.10659,-0.28565,-1
0.6274,0.345,-1
-0.58801,-0.16253,-1
0.42479,0.25848,1
0.72659,-0.74499,-1
-0.64775,0.3619,-1
-0.39303,0.97692,1
0.43918,0.62224,-1
0.93059,0.1655,-1
0.10359,0.61035,1
0.24168,0.56929,-1
-0.78289,-0.34374,-1
0.7969,-0.37555,-1
0.6893,0.29614,-1
